City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.6145,-37.6368,26.91,67,0,8.01,GL,1604350800
1,Am Timan,11.0297,20.2827,81.81,34,29,2.55,TD,1604350800
2,Evensk,61.95,159.2333,25.47,97,99,5.46,RU,1604350800
3,Wollongong,-34.4333,150.8833,61.52,80,24,1.79,AU,1604350800
4,Punta Arenas,-53.15,-70.9167,56.21,56,87,2.42,CL,1604350800
5,Ereymentau,51.6199,73.1033,28.65,96,38,6.08,KZ,1604350800
6,Ushuaia,-54.8,-68.3,56.93,64,59,5.23,AR,1604350800
7,Cherskiy,68.75,161.3,-3.15,92,100,13.78,RU,1604350800
8,Umluj,25.0213,37.2685,80.2,72,66,7.31,SA,1604350800
9,Husavik,66.0449,-17.3389,39.69,70,87,12.01,IS,1604350800
10,Yellowknife,62.456,-114.3525,9.79,87,95,10.49,CA,1604350800
11,Port Hedland,-20.3167,118.5667,73.58,72,11,10.09,AU,1604350800
12,Rikitea,-23.1203,-134.9692,72.25,81,39,18.21,PF,1604350800
13,Kandana,7.048,79.8937,78.31,85,29,1.57,LK,1604350800
14,Albany,42.6001,-73.9662,34.66,70,48,14.81,US,1604350800
15,Young,-32.6833,-57.6333,71.55,53,51,7.31,UY,1604350800
16,Jamestown,42.097,-79.2353,34.66,79,94,18.48,US,1604350800
17,Ancud,-41.8697,-73.8203,55.78,72,85,8.39,CL,1604350800
18,Margate,51.3813,1.3862,51.06,65,7,28.59,GB,1604350800
19,San Quintín,30.4833,-115.95,74.48,54,0,11.74,MX,1604350800
20,Petatlán,17.5167,-101.2667,91.63,53,3,3.85,MX,1604350800
21,Fort Thomas,39.0751,-84.4472,47.34,39,1,10.76,US,1604350800
22,Lermontovka,47.1453,134.3383,28.04,92,71,8.08,RU,1604350800
23,Bluff,-46.6,168.3333,51.76,74,31,3.09,NZ,1604350800
24,Amapá,1.0,-52.0,87.6,55,63,1.07,BR,1604350800
25,Kwang Binh,17.4833,106.6,75.06,86,78,16.6,VN,1604350800
26,Chokurdakh,70.6333,147.9167,-9.44,90,97,10.56,RU,1604350800
27,Benjamin Constant,-4.3831,-70.0311,89.51,58,56,2.37,BR,1604350800
28,Mayor Pablo Lagerenza,-19.9309,-60.7718,94.03,18,0,8.7,PY,1604350800
29,Mae Sai,20.4335,99.8762,71.74,95,54,1.05,TH,1604350800
30,Nikolskoye,59.7035,30.7861,44.85,83,95,16.17,RU,1604350800
31,Saint-Augustin,51.226,-58.6502,52.83,93,100,31.81,CA,1604350800
32,Cerro Blanco,14.6667,-87.7833,66.65,97,87,6.24,HN,1604350800
33,Puerto Ayora,-0.7393,-90.3518,72.32,73,82,11.05,EC,1604350800
